dial,value,config,turtle_winrate,warlord_winrate,greedy_winrate,avg_rounds,pct_close,pct_knockout,pct_maxrounds,avg_challenges,two_lead_broken_rate,avg_margin,avg_spoiled_per_turn,pct_turns_chained,avg_chain_len,faction_spread,seat0_advantage
(baseline),default,sweep_probe,12.2,29.07,29.35,9.88,87.7,11.9,0.4,5.05,81.5,1.091,0.122,34.8,3.82,19.2,1.22
findings_cap,2,sweep_probe,12.88,28.25,29.41,10.33,86.5,11.9,1.6,5.01,81.2,1.1,0.207,36.6,4.29,18.9,1.21
findings_cap,3,sweep_probe,12.2,29.07,29.35,9.88,87.7,11.9,0.4,5.05,81.5,1.091,0.122,34.8,3.82,19.2,1.22
findings_cap,4,sweep_probe,12.35,29.1,29.26,9.83,87.8,11.9,0.3,5.05,81.5,1.093,0.101,34.7,3.78,19.3,1.21
clock_length,7,sweep_probe,12.6,30.6,28.36,9.33,89.8,9.8,0.4,4.43,83.7,1.02,0.115,34.2,3.91,19.0,1.17
clock_length,9,sweep_probe,12.2,29.07,29.35,9.88,87.7,11.9,0.4,5.05,81.5,1.091,0.122,34.8,3.82,19.2,1.22
clock_length,11,sweep_probe,12.5,27.18,30.15,10.38,85.6,14.0,0.4,5.63,79.7,1.155,0.128,35.4,3.74,20.1,1.24
escalation_threshold,3,sweep_probe,12.3,31.8,27.9,8.79,90.8,9.1,0.1,4.16,84.3,1.016,0.077,32.9,3.15,19.1,1.16
escalation_threshold,5,sweep_probe,12.2,29.07,29.35,9.88,87.7,11.9,0.4,5.05,81.5,1.091,0.122,34.8,3.82,19.2,1.22
escalation_threshold,7,sweep_probe,12.18,27.02,30.38,10.71,84.8,14.7,0.5,5.8,79.0,1.162,0.145,36.0,4.04,20.0,1.26
toll_amount,0,sweep_probe,12.62,30.25,28.55,9.02,91.0,8.8,0.3,5.2,85.8,1.014,0.15,36.9,5.47,15.3,1.15
toll_amount,1,sweep_probe,12.2,29.07,29.35,9.88,87.7,11.9,0.4,5.05,81.5,1.091,0.122,34.8,3.82,19.2,1.22
toll_amount,2,sweep_probe,12.15,30.55,28.61,11.18,84.9,14.8,0.2,4.93,79.7,1.117,0.099,25.5,3.5,20.6,1.28
extra_ratio_steps,0,sweep_probe,12.2,29.07,29.35,9.88,87.7,11.9,0.4,5.05,81.5,1.091,0.122,34.8,3.82,19.2,1.22
extra_ratio_steps,1,sweep_probe,12.1,33.12,27.32,9.46,90.5,9.1,0.4,5.16,85.4,0.988,0.149,36.7,4.02,16.6,1.23
field_row_size,4,sweep_probe,15.05,26.23,29.34,8.99,89.4,10.4,0.2,5.15,83.7,1.054,0.108,39.4,3.45,19.4,1.17
field_row_size,6,sweep_probe,12.2,29.07,29.35,9.88,87.7,11.9,0.4,5.05,81.5,1.091,0.122,34.8,3.82,19.2,1.22
field_row_size,8,sweep_probe,10.32,30.3,29.66,10.5,86.5,13.4,0.1,5.01,80.1,1.104,0.105,30.7,3.68,19.2,1.25
start_specimens,1,sweep_probe,17.07,25.12,28.9,8.87,87.4,12.2,0.3,5.17,80.8,1.129,0.095,45.2,2.82,24.1,1.09
start_specimens,3,sweep_probe,12.2,29.07,29.35,9.88,87.7,11.9,0.4,5.05,81.5,1.091,0.122,34.8,3.82,19.2,1.22
start_specimens,5,sweep_probe,9.0,37.1,26.94,10.64,83.9,15.6,0.5,4.79,79.0,1.105,0.111,28.7,4.25,18.1,1.23
capture_garrison_mode,excess,sweep_probe,12.2,29.07,29.35,9.88,87.7,11.9,0.4,5.05,81.5,1.091,0.122,34.8,3.82,19.2,1.22
capture_garrison_mode,full,sweep_probe,10.55,25.1,32.16,10.32,84.8,14.5,0.8,4.72,78.5,1.171,0.154,36.0,4.03,20.7,1.26
